Keuwl Accelerometer Data File
2019-05-06 18-33-32

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
226.3161621,-7.375339,-5.009867,12.338518,15.222793,35.852329,214.187210
226.3276978,-6.654684,-6.398504,11.996147,15.137147,37.580502,223.875671
226.3360443,-4.905719,-7.065289,9.849746,13.076769,41.129509,235.226166
226.3460541,-3.734955,-7.867347,7.139510,11.261333,50.655300,244.604370
226.3558655,-3.628413,-9.424775,5.354632,11.430829,62.067062,248.943954
226.3659515,-3.930082,-11.376049,4.285621,12.776015,70.400536,250.941513
226.3777008,-4.107253,-13.499706,5.042189,14.984500,70.336609,253.077744
226.3860016,-3.724181,-14.283808,6.284780,16.043539,66.937637,255.386749
226.3959351,-2.068590,-15.018827,5.625177,16.170555,69.643188,262.157806
226.4058533,0.487220,-15.583858,3.536236,15.987463,77.221176,271.790741
226.4161072,1.892616,-15.003265,2.045845,15.259930,82.295357,277.189697
226.4260712,2.516306,-13.821727,2.001553,14.190777,81.891624,280.317932
226.4360046,3.839103,-11.968615,2.173935,12.755879,80.187401,287.784393
226.4463501,5.476737,-10.540473,1.871069,12.024854,81.048401,297.455994
226.4558563,6.631939,-9.342175,1.321599,11.532800,83.419746,305.370667
226.4661560,5.620389,-8.898050,7.904457,13.162238,53.091381,302.278259
226.4779663,4.612430,-9.070433,10.794258,14.834530,43.310749,296.953918
226.4861145,5.088876,-10.399215,7.237672,13.653726,57.988617,296.074890
226.4961243,6.494272,-11.231200,-2.118869,13.145533,99.275711,300.037994
226.5049896,6.494272,-11.231200,-2.118869,13.145533,99.275711,300.037994
226.5067139,6.494272,-11.231200,-2.118869,13.145533,99.275711,300.037994
226.5158997,7.052121,-9.653421,-5.708974,13.248145,115.526360,306.149292
226.5261841,6.627151,-7.884106,-8.665813,13.460111,130.076843,310.049438
226.5363007,4.871003,-7.272388,-10.418368,13.607229,139.964813,303.813934
226.5458832,2.573767,-8.050503,-11.100717,13.952088,142.714905,287.729218
226.5560303,0.652420,-9.051279,-10.110714,13.585943,138.090775,274.122772
226.5659027,-0.385466,-9.769540,-7.912837,12.577976,128.983932,267.740509
226.5759735,-0.727837,-10.077195,-5.548563,11.526758,118.774506,265.868927
226.5861969,-0.715866,-10.308235,-3.701436,10.976010,109.708176,266.027405
226.5958099,-0.633266,-10.650606,-2.262521,10.906669,101.972595,266.597290
226.6058350,-0.695516,-11.232397,-1.116895,11.309196,95.667763,266.456726
226.6158295,-1.180341,-12.424709,-0.277727,12.483739,91.274773,264.573212
226.6260986,-1.742979,-13.831304,0.616507,13.954319,87.467827,262.817627
226.6359558,-1.715446,-14.624981,1.377863,14.789568,84.654312,263.310028
226.6459656,-0.885855,-14.610616,0.502782,14.646079,88.032715,266.530365
226.6558533,-0.119710,-14.334085,-2.207454,14.503557,98.754494,269.521515
226.6663208,0.074220,-14.177265,-7.522582,16.049599,117.950485,270.299957
226.6758575,0.442927,-14.548367,-12.955026,19.485477,131.671234,271.743835
226.6858521,1.538275,-15.234305,-15.005659,21.438753,134.421509,275.765869
