Keuwl Accelerometer Data File
2019-04-23 13-21-05

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
1.1858282,5.768829,-1.484405,3.859453,7.097762,57.060280,345.569977
1.1956364,7.076063,-0.999579,3.233369,7.843756,65.655502,351.959473
1.2060696,6.470330,-0.891840,2.760514,7.090909,67.088844,352.152069
1.2161835,5.319916,-0.891840,2.372654,5.892909,66.257393,350.483337
1.2261407,5.148731,-2.102109,2.197877,5.979879,68.435684,337.790924
1.2368797,5.505467,-1.944092,1.947683,6.154927,71.552055,340.550842
1.2463166,5.482722,-2.108095,1.883040,6.168479,72.225708,338.968353
1.2562110,5.427655,-2.108095,1.928530,6.133737,71.674591,338.773895
1.2657686,5.427655,-2.527080,1.956063,6.298552,71.907166,335.033630
1.2762262,5.379771,-2.863465,1.920150,6.389706,72.511955,331.975189
1.2859268,5.379771,-3.254917,1.677138,6.507627,75.065247,328.824860
1.2957557,5.161899,-3.649961,1.677138,6.540658,75.142410,324.735992
1.3058120,4.881777,-3.943250,1.338359,6.416554,77.960907,321.070496
1.3159978,4.592079,-4.150349,1.007959,6.271249,80.750908,317.892548
1.3258176,4.386178,-4.286818,0.724246,6.175751,83.265282,315.656372
1.3356663,4.384980,-4.313154,0.380678,6.162489,86.458389,315.473114
1.3456620,4.489128,-4.149151,0.211887,6.116586,88.014801,317.253815
1.3558377,4.449624,-3.999514,0.240617,5.987751,87.696953,318.049438
1.3658752,4.282030,-3.869030,0.407014,5.785398,85.965797,317.900604
1.3756441,3.950433,-3.654749,0.713472,5.428826,82.448174,317.226501
1.3858464,3.762488,-3.377022,1.124078,5.179203,77.464951,318.090424
1.3962871,3.744531,-3.100491,1.790863,5.180902,69.777534,320.375061
1.4059290,3.932476,-2.896984,2.529474,5.500466,62.621574,323.621613
1.4158993,4.489128,-2.888604,2.918532,6.083924,61.333401,327.240082
1.4257430,5.299565,-3.251326,3.017891,6.911163,64.108452,328.470551
1.4358155,6.015432,-3.871424,3.043030,7.773891,66.955727,327.235382
1.4459271,6.843825,-4.456807,2.918532,8.672883,70.335472,326.927185
1.4559155,7.855376,-5.063736,2.626439,9.708066,74.303482,327.193329
1.4658191,8.638280,-5.849035,2.394202,10.703424,77.074402,325.897827
